year,rainfall_mm,temperature_c,soil_index,irrigation_pct,fertilizer_kg_ha,pest_pressure_index,yield_kg_ha
2000,734.9,24.74,0.72,30.0,99.0,0.28,5259.0
2001,856.8,25.39,0.711,30.5,111.4,0.88,5305.0
2002,811.0,24.49,0.702,30.0,86.5,0.97,4372.0
2003,700.6,25.03,0.708,34.9,118.2,0.12,5745.0
2004,753.3,24.78,0.701,32.9,137.0,0.38,5142.0
2005,884.1,25.05,0.698,30.0,109.9,0.44,5329.0
2006,636.4,24.06,0.701,42.6,121.6,0.17,5579.0
2007,753.3,24.5,0.702,36.2,119.0,0.41,5379.0
2008,852.0,24.96,0.708,38.9,101.7,0.21,5605.0
2009,721.0,25.64,0.712,42.2,128.1,0.22,5765.0
2010,729.3,25.23,0.715,40.7,107.6,0.37,4979.0
2011,761.3,25.33,0.708,39.2,119.8,0.14,5773.0
2012,853.5,25.64,0.709,38.1,136.8,0.37,5740.0
2013,722.7,25.04,0.707,42.1,121.5,0.46,5146.0
2014,731.4,25.53,0.698,49.4,141.5,0.38,5390.0
2015,728.9,25.13,0.702,46.6,145.3,0.28,5370.0
2016,884.4,24.79,0.703,44.9,137.8,0.28,5838.0
2017,880.2,25.35,0.7,41.2,119.7,0.41,5106.0
2018,806.2,25.77,0.696,47.3,136.4,0.33,5266.0
2019,766.2,25.71,0.687,51.5,164.4,0.13,5429.0
2020,784.2,25.6,0.685,49.0,123.8,0.33,5499.0
2021,826.4,26.59,0.684,51.4,144.5,0.43,5001.0
2022,677.8,25.83,0.677,52.7,144.4,0.82,4669.0
2023,801.5,26.08,0.68,49.4,149.5,0.47,5279.0
2024,652.8,26.62,0.671,58.3,164.7,0.4,4815.0
