year,rainfall_mm,temperature_c,soil_index,irrigation_pct,fertilizer_kg_ha,pest_pressure_index,yield_kg_ha
2000,759.9,25.05,0.72,32.3,108.6,0.82,3343.0
2001,767.1,24.88,0.712,31.9,98.6,0.42,3618.0
2002,831.1,24.94,0.709,30.9,98.0,0.14,3898.0
2003,825.1,25.13,0.7,34.3,90.6,0.36,3823.0
2004,869.0,25.58,0.693,30.7,121.6,0.19,3672.0
2005,882.8,24.63,0.696,33.8,103.8,0.28,4024.0
2006,800.1,25.07,0.692,35.9,123.3,0.85,3355.0
2007,806.0,25.56,0.686,37.7,127.1,0.16,3635.0
2008,755.3,24.66,0.683,38.8,116.9,0.47,3790.0
2009,754.1,25.8,0.673,39.2,115.8,0.36,3247.0
2010,649.0,24.97,0.679,42.3,126.4,0.33,3408.0
2011,699.2,25.6,0.674,41.6,125.7,0.31,3596.0
2012,697.3,25.39,0.672,46.6,144.2,0.4,3721.0
2013,775.3,25.53,0.667,41.5,152.2,0.48,3444.0
2014,738.5,24.93,0.664,46.2,139.5,0.21,3642.0
2015,871.7,25.5,0.656,41.6,143.3,0.7,3518.0
2016,866.9,25.34,0.651,41.8,124.0,0.17,3804.0
2017,804.2,25.99,0.652,48.4,157.4,0.3,3571.0
2018,802.2,25.32,0.646,50.4,170.9,0.38,3820.0
2019,812.5,25.57,0.642,44.1,148.0,0.31,3554.0
2020,733.6,25.48,0.648,51.5,140.3,0.19,3715.0
2021,731.7,25.79,0.645,53.6,150.0,0.19,3342.0
2022,675.7,26.14,0.638,55.2,144.4,0.48,3426.0
2023,708.0,25.7,0.641,59.7,150.0,0.23,3466.0
2024,796.4,25.9,0.642,58.0,151.8,0.37,3911.0
