year,rainfall_mm,temperature_c,soil_index,irrigation_pct,fertilizer_kg_ha,pest_pressure_index,yield_kg_ha
2000,733.5,24.99,0.72,30.0,84.5,0.29,5232.0
2001,753.5,24.82,0.718,32.6,104.6,0.22,5579.0
2002,825.4,25.29,0.722,30.0,110.4,0.18,5113.0
2003,865.1,24.96,0.722,31.0,114.8,0.4,5381.0
2004,793.8,25.01,0.714,32.8,128.9,0.38,5339.0
2005,725.7,25.4,0.712,36.4,116.1,0.37,5017.0
2006,786.0,25.46,0.714,35.3,127.7,0.23,5192.0
2007,743.4,25.48,0.71,40.7,116.2,0.38,5102.0
2008,720.1,24.94,0.706,36.4,120.4,0.21,5511.0
2009,836.3,25.52,0.708,38.9,110.1,0.41,5019.0
2010,818.3,25.46,0.705,36.0,115.2,0.96,4605.0
2011,847.1,26.16,0.702,40.8,107.5,0.86,4562.0
2012,738.5,25.11,0.692,41.7,130.3,0.12,5073.0
2013,741.9,25.76,0.689,44.0,127.3,0.13,5537.0
2014,706.1,24.74,0.689,43.4,142.6,0.3,5407.0
2015,649.8,25.7,0.69,46.3,125.9,0.12,4991.0
2016,767.8,24.78,0.684,46.6,140.4,0.19,5468.0
2017,686.1,25.8,0.68,52.3,150.1,1.0,4318.0
2018,822.0,25.28,0.672,47.5,143.5,0.12,5582.0
2019,640.4,24.72,0.661,52.4,145.4,0.1,5289.0
2020,770.1,26.06,0.664,49.0,141.3,0.41,5003.0
2021,761.9,25.6,0.661,51.4,134.5,0.35,5002.0
2022,787.2,26.38,0.658,50.6,126.2,0.1,5357.0
2023,731.1,26.29,0.656,54.8,154.1,0.42,5107.0
2024,799.1,25.85,0.657,53.7,148.3,0.22,5031.0
